title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,author_mean_rates,year,month,day,children,"comics, graphic","fantasy, paranormal",fiction,"history, historical fiction, biography","mystery, thriller, crime",non-fiction,poetry,romance,young-adult,title_word_count,authors_name_count
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,652,2095690,27591,2006-09-16,4.463000381243803,2006.0,9.0,16.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,9,2
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,870,2153167,29221,2004-09-01,4.463000381243803,2004.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,11,2
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,352,6333,244,2003-11-01,4.44,2003.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10,1
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,435,2339585,36325,2004-05-01,4.463000381243803,2004.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,10,2
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,2690,41428,164,2004-09-13,4.463000381243803,2004.0,9.0,13.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,9,2
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,152,19,1,2005-04-26,4.25,2005.0,4.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,3342,28242,808,2005-09-12,4.44,2005.0,9.0,12.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6,1
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,3628,254,2005-11-01,4.19,2005.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,1
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,249558,4080,2002-04-30,4.19,2002.0,4.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13,1
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,215,4930,460,2004-08-03,4.19,2004.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12,1
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,6,1266,253,2005-03-23,4.1773448233381085,2005.0,3.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12,2
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,815,2877,195,1996-01-17,4.19,1996.0,1.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10,1
A Short History of Nearly Everything,Bill Bryson,4.21,544,248558,9396,2004-09-14,4.01,2004.0,9.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6,1
Bill Bryson's African Diary,Bill Bryson,3.44,55,7270,499,2002-12-03,4.01,2002.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,2088,131,2004-09-14,4.01,2004.0,9.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12,1
In a Sunburned Country,Bill Bryson,4.07,335,72451,4245,2001-05-15,4.01,2001.0,5.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,49240,2211,2000-06-28,4.01,2000.0,6.0,28.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,14,1
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,45712,2257,1990-08-28,4.01,1990.0,8.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8,1
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,48701,2238,1993-03-28,4.01,1993.0,3.0,28.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,7,1
Notes from a Small Island,Bill Bryson,3.91,324,80609,3301,1997-05-28,4.01,1997.0,5.0,28.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,28489,2085,1991-09-28,4.01,1991.0,9.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,1
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,101233,1550,2012-09-25,4.31,2012.0,9.0,25.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,13,1
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,1710,91,2004-10-21,4.31,2004.0,10.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11,1
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,2128944,13670,2003-09-05,4.31,2003.0,9.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11,1
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,1618,140,2002-10-01,4.305451540015925,2002.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11,2
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,19822,46,2003-11-05,4.508038314894682,2003.0,11.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8,3
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,359,6,2004-11-15,4.46,2004.0,11.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,8,1
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,1430,59,2005-07-28,3.954223133446541,2005.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,6
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,270244,12017,2000-04-01,3.75,2000.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,2067,334,2001-01-23,3.75,2001.0,1.0,23.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,10,1
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,99,16,2005-11-01,3.69,2005.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,167,4,2005-11-01,3.924481283717593,2005.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8,9
Changeling (Changeling  #1),Delia Sherman,3.6,256,978,111,2006-08-17,3.9,2006.0,8.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
The Changeling Sea,Patricia A. McKillip,4.06,137,4454,302,2003-04-14,3.99,2003.0,4.0,14.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3,1
The Changeling,Zilpha Keatley Snyder,4.17,228,1176,96,2004-06-08,3.82,2004.0,6.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1
The Changeling,Kate Horsley,3.55,339,301,43,2005-04-12,3.77,2005.0,4.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1
The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,345,12,1990-08-28,3.89,1990.0,8.0,28.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6,1
The Known World,Edward P. Jones,3.83,388,29686,2626,2006-08-29,3.85,2006.0,8.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1
The Known World,Edward P. Jones/Kevin R. Free,3.83,14,55,12,2004-06-15,3.851530486299679,2004.0,6.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,2
The Known World,Edward P. Jones,3.83,576,22,3,2004-06-15,3.85,2004.0,6.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,1456,82,2006-05-15,3.7200000000000006,2006.0,5.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,13,1
Artesia: Adventures in the Known World,Mark Smylie,4.13,352,52,4,2005-12-14,3.84,2005.0,12.0,14.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,562,37,1982-06-01,4.152082132022965,1982.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8,2
Uncommon Carriers,John McPhee,3.95,248,1630,203,2006-05-16,4.15,2006.0,5.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1
Heirs of General Practice,John McPhee,4.17,128,268,22,1986-04-01,4.15,1986.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
The Control of Nature,John McPhee,4.24,288,3498,305,1990-09-01,4.15,1990.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
Annals of the Former World,John McPhee,4.34,720,3115,228,1999-01-06,4.15,1999.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1
Coming Into the Country,John McPhee,4.22,448,5704,261,1991-04-01,4.15,1991.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
La Place de la Concorde Suisse,John McPhee,3.92,160,698,52,1994-04-01,4.15,1994.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6,1
Giving Good Weight,John McPhee,4.23,288,542,36,1994-04-01,4.15,1994.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,1
Rising from the Plains,John McPhee,4.23,208,1341,98,1987-11-01,4.15,1987.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4,1
The Heidi Chronicles,Wendy Wasserstein,3.75,81,1423,70,2002-03-01,3.62,2002.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,1
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,2766,64,1991-07-02,3.62,1991.0,7.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,11,1
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,860,53,2003-09-01,4.447845828933474,2003.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11,2
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,153317,2257,2002-11-15,3.9769238496525934,2002.0,11.0,15.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3,3
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,11797,659,2003-10-16,3.768710607720565,2003.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9,5
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,34,8,2004-05-10,3.529402985074627,2004.0,5.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,10,2
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,78,4,2004-08-19,3.770000000000001,2004.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,1
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,2785,166,1987-06-15,4.07,1987.0,6.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1
