book_id,genres
38568,"{'fantasy, paranormal': 1907, 'romance': 1598, 'fiction': 79}"
38562,"{'fantasy, paranormal': 1002, 'romance': 896, 'fiction': 42, 'mystery, thriller, crime': 20}"
38564,"{'young-adult': 315, 'fantasy, paranormal': 275, 'fiction': 30, 'romance': 20}"
39307,"{'fantasy, paranormal': 128, 'romance': 40, 'fiction': 12}"
23717,"{'fantasy, paranormal': 3, 'fiction': 2, 'comics, graphic': 7}"
31761,"{'fiction': 489, 'history, historical fiction, biography': 184, 'non-fiction': 15, 'romance': 11}"
31763,"{'non-fiction': 276, 'history, historical fiction, biography': 27}"
4241,"{'fiction': 11, 'non-fiction': 7, 'fantasy, paranormal': 4, 'history, historical fiction, biography': 2}"
19052,"{'mystery, thriller, crime': 98, 'fiction': 16, 'children': 2}"
19056,"{'fiction': 206, 'history, historical fiction, biography': 108}"
19057,"{'young-adult': 2631, 'fiction': 2098, 'mystery, thriller, crime': 880, 'romance': 62, 'fantasy, paranormal': 48}"
18603,"{'fiction': 244, 'history, historical fiction, biography': 89, 'romance': 59, 'fantasy, paranormal': 63, 'mystery, thriller, crime': 9}"
18600,"{'non-fiction': 801, 'history, historical fiction, biography': 246, 'fiction': 11, 'comics, graphic': 10, 'mystery, thriller, crime': 4}"
43278,"{'non-fiction': 28, 'poetry': 1}"
43273,"{'non-fiction': 84, 'children': 13}"
16813,{'non-fiction': 4}
34200,"{'non-fiction': 33, 'history, historical fiction, biography': 13, 'fiction': 2}"
38560,"{'fantasy, paranormal': 32, 'romance': 17, 'fiction': 2}"
15676,"{'fiction': 335, 'mystery, thriller, crime': 274, 'fantasy, paranormal': 58}"
15677,"{'fiction': 411, 'mystery, thriller, crime': 674}"
15672,"{'fiction': 49, 'mystery, thriller, crime': 59}"
15673,"{'children': 647, 'fiction': 180, 'young-adult': 66, 'fantasy, paranormal': 58}"
15678,"{'young-adult': 114, 'fiction': 72, 'children': 32}"
14069,"{'fantasy, paranormal': 1461, 'fiction': 712, 'history, historical fiction, biography': 1452, 'young-adult': 37}"
14064,"{'fiction': 1972, 'fantasy, paranormal': 562, 'mystery, thriller, crime': 142}"
14063,"{'children': 197, 'fiction': 21, 'history, historical fiction, biography': 4, 'young-adult': 2, 'non-fiction': 2, 'fantasy, paranormal': 2}"
14060,"{'children': 6, 'fiction': 3, 'history, historical fiction, biography': 4}"
13143,"{'mystery, thriller, crime': 733, 'fiction': 49}"
13146,"{'mystery, thriller, crime': 267, 'fiction': 90}"
13769,"{'romance': 22, 'fiction': 15, 'history, historical fiction, biography': 30, 'fantasy, paranormal': 15, 'comics, graphic': 34, 'young-adult': 3}"
15948,"{'romance': 1355, 'fiction': 814, 'mystery, thriller, crime': 68, 'young-adult': 21}"
28822,{'non-fiction': 25}
37700,"{'fantasy, paranormal': 1008, 'fiction': 560, 'children': 1083, 'young-adult': 116}"
14978,"{'fiction': 200, 'fantasy, paranormal': 45}"
14975,"{'fiction': 1841, 'history, historical fiction, biography': 1420, 'fantasy, paranormal': 551, 'mystery, thriller, crime': 660, 'romance': 42}"
11535,"{'fiction': 77, 'history, historical fiction, biography': 62, 'mystery, thriller, crime': 43}"
5337,"{'fiction': 693, 'history, historical fiction, biography': 145, 'romance': 57, 'mystery, thriller, crime': 12}"
5338,"{'fantasy, paranormal': 45, 'poetry': 13, 'fiction': 26, 'children': 18, 'romance': 4, 'young-adult': 4}"
21290,"{'mystery, thriller, crime': 46, 'fiction': 12}"
21294,"{'fiction': 13, 'mystery, thriller, crime': 5, 'history, historical fiction, biography': 2}"
26384,"{'history, historical fiction, biography': 5}"
43459,"{'fiction': 37, 'young-adult': 26, 'romance': 10, 'mystery, thriller, crime': 9, 'fantasy, paranormal': 2}"
43457,"{'fiction': 32, 'young-adult': 22, 'romance': 10, 'mystery, thriller, crime': 10}"
43456,"{'young-adult': 21, 'fiction': 23, 'romance': 6, 'mystery, thriller, crime': 9}"
43455,"{'young-adult': 17, 'fiction': 14, 'romance': 5, 'mystery, thriller, crime': 2}"
43454,"{'fiction': 32, 'young-adult': 25, 'romance': 8, 'mystery, thriller, crime': 15, 'fantasy, paranormal': 5}"
43451,"{'fiction': 1750, 'young-adult': 789, 'mystery, thriller, crime': 552, 'romance': 237, 'fantasy, paranormal': 28}"
2701,"{'poetry': 1657, 'fiction': 612, 'history, historical fiction, biography': 631, 'fantasy, paranormal': 53}"
17994,"{'non-fiction': 1339, 'history, historical fiction, biography': 618}"
17998,"{'fantasy, paranormal': 3982, 'young-adult': 1616, 'fiction': 1180, 'children': 777, 'mystery, thriller, crime': 87}"
28660,"{'fantasy, paranormal': 836, 'fiction': 56}"
28664,"{'fantasy, paranormal': 300, 'fiction': 16}"
13878,"{'fantasy, paranormal': 1712, 'fiction': 164}"
13871,"{'fantasy, paranormal': 9, 'fiction': 2}"
13872,"{'fiction': 1810, 'fantasy, paranormal': 242}"
4424,"{'history, historical fiction, biography': 628, 'non-fiction': 167, 'comics, graphic': 4}"
43564,"{'non-fiction': 5, 'comics, graphic': 3}"
33999,"{'non-fiction': 2595, 'history, historical fiction, biography': 354, 'fiction': 22}"
14350,"{'fiction': 2110, 'fantasy, paranormal': 1415, 'romance': 765, 'poetry': 602, 'history, historical fiction, biography': 164}"
