,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,book_id,country_code,authors,isbn13
0,0,0,0,807,38568,US,"[{'author_id': '17059', 'role': ''}]",9780060773755
1,1,1,1,816,38562,US,"[{'author_id': '17059', 'role': ''}]",9780060774073
2,2,2,2,818,38564,US,"[{'author_id': '21701', 'role': ''}]",9780425209424
3,3,3,3,1138,39307,US,"[{'author_id': '1356336', 'role': ''}]",9780312940027
4,4,4,4,1341,23717,US,"[{'author_id': '12948', 'role': ''}]",9781569312063
5,5,5,5,1580,31761,US,"[{'author_id': '909675', 'role': ''}]",9789875801448
6,6,6,6,1581,31763,US,"[{'author_id': '1938', 'role': ''}]",9783150071236
7,7,7,7,2009,4241,US,"[{'author_id': '2918', 'role': ''}]",9781579510022
8,8,8,8,3609,19052,US,"[{'author_id': '11461', 'role': ''}]",9780738709123
9,9,9,9,3613,19056,US,"[{'author_id': '3445', 'role': ''}]",9781400078127
10,10,10,10,3614,19057,US,"[{'author_id': '11466', 'role': ''}]",9780375836671
11,11,11,11,4392,18603,US,"[{'author_id': '11195', 'role': ''}]",9780743278829
12,12,12,12,4393,18600,US,"[{'author_id': '11193', 'role': ''}]",9780060730550
13,13,13,13,4522,43278,US,"[{'author_id': '24365', 'role': ''}]",9780060952433
14,14,14,14,4527,43273,US,"[{'author_id': '24362', 'role': ''}]",9780060014315
15,15,15,15,4640,16813,US,"[{'author_id': '10229', 'role': ''}, {'author_id': '3857095', 'role': 'Photographer'}, {'author_id': '6853', 'role': 'Foreword by'}]",9780816639823
16,16,16,16,4767,34200,US,"[{'author_id': '5158478', 'role': ''}, {'author_id': '19278', 'role': 'Translator'}]",9780892811458
17,17,17,17,4800,38560,US,"[{'author_id': '1356336', 'role': ''}, {'author_id': '95295', 'role': ''}, {'author_id': '1834164', 'role': ''}, {'author_id': '21698', 'role': ''}]",9781600430015
18,18,18,18,5044,15676,US,"[{'author_id': '9355', 'role': ''}]",9780425181119
19,19,19,19,5045,15677,US,"[{'author_id': '7622', 'role': ''}]",9780393321982
20,20,20,20,5047,15672,US,"[{'author_id': '9693', 'role': 'Author'}, {'author_id': '344522', 'role': 'Introduction'}, {'author_id': '2971291', 'role': 'Translator'}, {'author_id': '134769', 'role': 'Translator'}]",9781590171943
21,21,21,21,5048,15673,US,"[{'author_id': '6569', 'role': ''}]",9780747569114
22,22,22,22,5052,15678,US,"[{'author_id': '7540', 'role': ''}]",9780689804441
23,23,23,23,5989,14069,US,"[{'author_id': '8730', 'role': ''}]",9780345481290
24,24,24,24,5992,14064,US,"[{'author_id': '8726', 'role': ''}]",9781857988093
25,25,25,25,5994,14063,US,"[{'author_id': '8725', 'role': 'Adaptor'}]",9780698115675
26,26,26,26,5995,14060,US,"[{'author_id': '5300', 'role': ''}, {'author_id': '232226', 'role': 'Illustrator'}]",9780064420808
27,27,27,27,6210,13143,US,"[{'author_id': '3780', 'role': ''}]",9780446608817
28,28,28,28,6218,13146,US,"[{'author_id': '3780', 'role': ''}]",9780446609326
29,29,29,29,6306,13769,US,"[{'author_id': '8564', 'role': ''}]",9781421509976
30,30,30,30,6351,15948,US,"[{'author_id': '2345', 'role': ''}, {'author_id': '754947', 'role': 'Translator'}]",9783453861909
31,31,31,31,6517,28822,US,"[{'author_id': '15865', 'role': ''}]",9780486202914
32,32,32,32,6991,37700,US,"[{'author_id': '8164', 'role': ''}, {'author_id': '1407244', 'role': 'Editor'}]",9781551112237
33,33,33,33,7313,14978,US,"[{'author_id': '9346', 'role': ''}]",9780345475732
34,34,34,34,7318,14975,US,"[{'author_id': '9343', 'role': ''}]",9780425213971
35,35,35,35,8158,11535,US,"[{'author_id': '2687', 'role': ''}]",9780380789177
36,36,36,36,8957,5337,US,"[{'author_id': '239579', 'role': ''}, {'author_id': '3128534', 'role': 'Illustrator'}, {'author_id': '68607', 'role': 'Introduction'}]",9780375759147
37,37,37,37,8960,5338,US,"[{'author_id': '239579', 'role': ''}, {'author_id': '40641', 'role': 'Annotations'}]",9780140439052
38,38,38,38,9206,21290,US,"[{'author_id': '879521', 'role': ''}]",9780312333799
39,39,39,39,9210,21294,US,"[{'author_id': '879521', 'role': ''}]",9780312953966
40,40,40,40,9503,26384,US,"[{'author_id': '14805', 'role': ''}, {'author_id': '4717091', 'role': 'Translator'}, {'author_id': '7445995', 'role': 'Translator'}]",9780674992023
41,41,41,41,9751,43459,US,"[{'author_id': '1353301', 'role': ''}]",9780671039943
42,42,42,42,9753,43457,US,"[{'author_id': '1353301', 'role': ''}]",9780671039950
43,43,43,43,9754,43456,US,"[{'author_id': '1353301', 'role': ''}]",9781416530817
44,44,44,44,9755,43455,US,"[{'author_id': '1353301', 'role': ''}]",9780743449021
45,45,45,45,9756,43454,US,"[{'author_id': '1353301', 'role': ''}]",9780743428675
46,46,46,46,9758,43451,US,"[{'author_id': '1353301', 'role': ''}]",9788497597463
47,47,47,47,9818,2701,US,"[{'author_id': '1838', 'role': ''}, {'author_id': '18419', 'role': 'Editor'}]",9780140422344
48,48,48,48,9965,17994,US,"[{'author_id': '10894', 'role': ''}]",9780385495325
49,49,49,49,9971,17998,US,"[{'author_id': '10896', 'role': ''}]",9780786856282
50,50,50,50,10363,28660,US,"[{'author_id': '8591', 'role': ''}]",9780586210697
51,51,51,51,10367,28664,US,"[{'author_id': '8591', 'role': ''}]",9780006482079
52,52,52,52,10617,13878,US,"[{'author_id': '8588', 'role': ''}]",9780553588118
53,53,53,53,10624,13871,US,"[{'author_id': '8588', 'role': ''}, {'author_id': '8621', 'role': 'Artist'}]",9780976401155
54,54,54,54,10625,13872,US,"[{'author_id': '8622', 'role': ''}]",9780375713347
55,55,55,55,11482,4424,US,"[{'author_id': '3051', 'role': ''}]",9780316907927
56,56,56,56,11605,43564,US,"[{'author_id': '24481', 'role': ''}]",9781581807592
57,57,57,57,12482,33999,US,"[{'author_id': '12793', 'role': ''}, {'author_id': '288012', 'role': 'Introduction'}]",9780486450063
58,58,58,58,12489,14350,US,"[{'author_id': '947', 'role': ''}, {'author_id': '42267', 'role': 'Editor'}, {'author_id': '487578', 'role': 'Editor'}, {'author_id': '18266', 'role': 'Introduction'}]",9780140714555
59,59,59,59,12494,14358,US,"[{'author_id': '106', 'role': ''}]",9780440910817
60,60,60,60,12914,29257,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9781593976729
61,61,61,61,12916,29256,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9780553285727
62,62,62,62,12926,29252,US,"[{'author_id': '14525', 'role': ''}, {'author_id': '1372787', 'role': ''}]",9781400054039
63,63,63,63,13559,40372,US,"[{'author_id': '10885', 'role': ''}, {'author_id': '651160', 'role': 'Illustrator'}, {'author_id': '20561', 'role': 'Introduction'}, {'author_id': '3866857', 'role': 'Afterword'}]",9780803261839
64,64,64,64,13562,40376,US,"[{'author_id': '10885', 'role': ''}]",9780345329561
65,65,65,65,13565,40379,US,"[{'author_id': '10885', 'role': ''}, {'author_id': '2485427', 'role': 'Narrated by'}]",9781400130221
66,66,66,66,13566,40378,US,"[{'author_id': '10885', 'role': ''}, {'author_id': '2485427', 'role': 'Narrated by'}]",9781400130214
67,67,67,67,13756,4836,US,"[{'author_id': '3299', 'role': ''}]",9780099421863
68,68,68,68,14318,3585,US,"[{'author_id': '2448', 'role': ''}, {'author_id': '217865', 'role': 'Narrator'}, {'author_id': '217894', 'role': 'Narrator'}, {'author_id': '67899', 'role': 'Narrator'}]",9781598870299
69,69,69,69,14865,24530,US,"[{'author_id': '13806', 'role': ''}, {'author_id': '2121', 'role': ''}, {'author_id': '13807', 'role': ''}]",9780671639617
70,70,70,70,15854,4364,US,"[{'author_id': '3019', 'role': ''}]",9780375703409
71,71,71,71,15857,4360,US,"[{'author_id': '3015', 'role': ''}]",9780140298543
72,72,72,72,15859,4362,US,"[{'author_id': '3017', 'role': ''}]",9780312426033
