bookID,title,authors_x,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1_x,Unnamed: 0_x,book_id,country_code,authors_y,Unnamed: 0.1_y,Unnamed: 0_y,genres
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,0439785960,9780439785969,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,3424,3424,3424,861044,1,US,"['1077326', '2927']",3424,861044,"['fantasy, paranormal', 'young-adult', 'fiction', 'children', 'mystery, thriller, crime', 'romance']"
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,0439358078,9780439358071,eng,870,2153167,29221,9/1/2004,Scholastic Inc.,8247,8247,8247,2083381,2,US,"['1077326', '2927']",8247,2083381,"['fantasy, paranormal', 'children', 'fiction', 'young-adult', 'mystery, thriller, crime', 'romance']"
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,0439554896,9780439554893,eng,352,6333,244,11/1/2003,Scholastic,4767,4767,4767,1211232,4,US,['1077326'],4767,1211232,"['fantasy, paranormal', 'young-adult', 'fiction', 'children', 'mystery, thriller, crime']"
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9780439655484,eng,435,2339585,36325,5/1/2004,Scholastic Inc.,4029,4029,4029,1028676,5,US,"['1077326', '2927']",4029,1028676,"['fiction', 'children', 'fantasy, paranormal', 'young-adult', 'mystery, thriller, crime']"
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,0439682584,9780439682589,eng,2690,41428,164,9/13/2004,Scholastic,9221,9221,9221,2335569,8,US,"['1077326', '2927']",9221,2335569,"['fantasy, paranormal', 'young-adult', 'fiction', 'children', 'mystery, thriller, crime']"
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,0976540606,9780976540601,en-US,152,19,1,4/26/2005,Nimble Books,4722,4722,4722,1197706,9,US,['3'],4722,1197706,[]
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,0439827604,9780439827607,eng,3342,28242,808,9/12/2005,Scholastic,9213,9213,9213,2334249,10,US,['1077326'],9213,2334249,"['fantasy, paranormal', 'fiction', 'young-adult', 'children', 'mystery, thriller, crime']"
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517226952,9780517226957,eng,815,3628,254,11/1/2005,Gramercy Books,8731,8731,8731,2203120,12,US,['4'],8731,2203120,"['fiction', 'fantasy, paranormal', 'young-adult']"
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0345453743,9780345453747,eng,815,249558,4080,4/30/2002,Del Rey Books,9214,9214,9214,2334250,13,US,['4'],9214,2334250,"['fiction', 'fantasy, paranormal', 'young-adult']"
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,4930,460,8/3/2004,Crown,9215,9215,9215,2334253,14,US,['4'],9215,2334253,"['fiction', 'fantasy, paranormal', 'young-adult']"
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,0739322206,9780739322208,eng,6,1266,253,3/23/2005,Random House Audio,8732,8732,8732,2203140,16,US,"['4', '10917']",8732,2203140,"['fiction', 'fantasy, paranormal', 'young-adult']"
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,0517149257,9780517149256,eng,815,2877,195,1/17/1996,Wings Books,9216,9216,9216,2334257,18,US,['4'],9216,2334257,"['fiction', 'fantasy, paranormal', 'young-adult']"
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,248558,9396,9/14/2004,Broadway Books,4218,4218,4218,1080474,21,US,['7'],4218,1080474,"['history, historical fiction, biography', 'non-fiction', 'fiction']"
22,Bill Bryson's African Diary,Bill Bryson,3.44,0767915062,9780767915069,eng,55,7270,499,12/3/2002,Broadway Books,4219,4219,4219,1080475,22,US,['7'],4219,1080475,"['non-fiction', 'history, historical fiction, biography']"
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,0767910435,9780767910439,eng,256,2088,131,9/14/2004,Broadway Books,4220,4220,4220,1080476,23,US,['7'],4220,1080476,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
24,In a Sunburned Country,Bill Bryson,4.07,0767903862,9780767903868,eng,335,72451,4245,5/15/2001,Broadway Books,4215,4215,4215,1080469,24,US,['7'],4215,1080469,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,49240,2211,6/28/2000,Broadway Books,4216,4216,4216,1080470,25,US,['7'],4216,1080470,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'comics, graphic']"
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,0060920084,9780060920081,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,4217,4217,4217,1080471,26,US,['7'],4217,1080471,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,0380713802,9780380713806,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,3318,3318,3318,832647,27,US,['7'],3318,832647,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
28,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,4221,4221,4221,1080478,28,US,['7'],4221,1080478,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'comics, graphic']"
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,4222,4222,4222,1080479,29,US,['7'],4222,1080479,"['non-fiction', 'history, historical fiction, biography']"
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,eng,1728,101233,1550,9/25/2012,Ballantine Books,8667,8667,8667,2187516,30,US,['656983'],8667,2187516,"['fiction', 'fantasy, paranormal', 'young-adult', 'children']"
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,8666,8666,8666,2187515,31,US,['656983'],8666,2187515,"['fantasy, paranormal', 'fiction', 'young-adult']"
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,eng,398,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,8671,8671,8671,2187520,34,US,['656983'],8671,2187520,"['fantasy, paranormal', 'fiction', 'young-adult']"
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,en-US,1216,1618,140,10/1/2002,Houghton Mifflin Harcourt,8670,8670,8670,2187519,35,US,"['656983', '9545']",8670,2187519,"['fantasy, paranormal', 'fiction', 'young-adult']"
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,eng,218,19822,46,11/5/2003,Houghton Mifflin Harcourt,8669,8669,8669,2187518,36,US,"['5448409', '5325360', '10154']",8669,2187518,"['fantasy, paranormal', 'non-fiction', 'fiction']"
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,8668,8668,8668,2187517,37,US,['10'],8668,2187517,"['fantasy, paranormal', 'non-fiction', 'fiction', 'young-adult']"
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,3535,3535,3535,891460,45,US,"['13', '23587', '23590', '15118', '8594411', '8622940']",3535,891460,['non-fiction']
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,eng,208,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,8084,8084,8084,2040860,50,US,['18'],8084,2040860,"['young-adult', 'fiction', 'children']"
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,eng,144,2067,334,1/23/2001,Delacorte Press,8085,8085,8085,2040861,53,US,['18'],8085,2040861,"['non-fiction', 'history, historical fiction, biography', 'young-adult', 'children', 'fiction']"
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,en-US,228,99,16,11/1/2005,The New Press,1836,1836,1836,455195,55,US,['20'],1836,455195,['non-fiction']
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,eng,304,167,4,11/1/2005,Changeling Press,8083,8083,8083,2040857,57,US,"['23', '16158', '16159', '16160', '16155', '16156', '16162', '16157', '16161']",8083,2040857,"['romance', 'fantasy, paranormal', 'fiction']"
58,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,eng,256,978,111,8/17/2006,Viking Juvenile,8082,8082,8082,2040854,58,US,['24'],8082,2040854,"['fantasy, paranormal', 'young-adult', 'fiction', 'children']"
59,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,eng,137,4454,302,4/14/2003,Firebird,8081,8081,8081,2040853,59,US,['25'],8081,2040853,"['fantasy, paranormal', 'young-adult', 'fiction', 'romance', 'children', 'history, historical fiction, biography']"
61,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,eng,228,1176,96,6/8/2004,iUniverse,3122,3122,3122,787508,61,US,['27'],3122,787508,"['fiction', 'fantasy, paranormal', 'young-adult', 'children', 'mystery, thriller, crime']"
63,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,eng,339,301,43,4/12/2005,Shambhala,4867,4867,4867,1233913,63,US,['29'],4867,1233913,"['fiction', 'history, historical fiction, biography', 'fantasy, paranormal']"
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,eng,369,345,12,8/28/1990,Ivy Books,3123,3123,3123,787511,66,US,['32'],3123,787511,"['fiction', 'history, historical fiction, biography', 'romance', 'mystery, thriller, crime']"
67,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,eng,388,29686,2626,8/29/2006,Amistad,3124,3124,3124,787512,67,US,['33'],3124,787512,"['fiction', 'history, historical fiction, biography']"
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,en-US,14,55,12,6/15/2004,HarperAudio,3125,3125,3125,787513,68,US,"['33', '2119344']",3125,787513,"['fiction', 'history, historical fiction, biography']"
69,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,eng,576,22,3,6/15/2004,Harper,3126,3126,3126,787514,69,US,['33'],3126,787514,"['fiction', 'history, historical fiction, biography']"
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,eng,334,1456,82,5/15/2006,FT Press,7506,7506,7506,1894640,71,US,['36'],7506,1894640,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,eng,352,52,4,12/14/2005,Archaia,7505,7505,7505,1894639,72,US,['38'],7505,1894639,"['fantasy, paranormal', 'fiction', 'comics, graphic']"
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,eng,416,562,37,6/1/1982,Farrar  Straus and Giroux,7504,7504,7504,1894637,74,US,"['40', '204245']",7504,1894637,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
75,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,en-US,248,1630,203,5/16/2006,Farrar Straus Giroux,7503,7503,7503,1894636,75,US,['40'],7503,1894636,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
76,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,eng,128,268,22,4/1/1986,Farrar  Straus and Giroux,7502,7502,7502,1894635,76,US,['40'],7502,1894635,"['non-fiction', 'history, historical fiction, biography']"
77,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,en-US,288,3498,305,9/1/1990,Farrar  Straus and Giroux,7501,7501,7501,1894634,77,US,['40'],7501,1894634,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
78,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,eng,720,3115,228,1/6/1999,Farrar  Straus and Giroux,7508,7508,7508,1894645,78,US,['40'],7508,1894645,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
79,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,eng,448,5704,261,4/1/1991,Farrar  Straus and Giroux,7507,7507,7507,1894644,79,US,['40'],7507,1894644,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
80,La Place de la Concorde Suisse,John McPhee,3.92,0374519323,9780374519322,fre,160,698,52,4/1/1994,Farrar  Straus and Giroux,5961,5961,5961,1505484,80,US,['40'],5961,1505484,"['non-fiction', 'history, historical fiction, biography', 'fiction']"
81,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,eng,288,542,36,4/1/1994,Farrar  Straus and Giroux,2590,2590,2590,641750,81,US,['40'],2590,641750,"['non-fiction', 'history, historical fiction, biography']"
83,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,eng,208,1341,98,11/1/1987,Farrar  Straus and Giroux,2589,2589,2589,641748,83,US,['40'],2589,641748,"['non-fiction', 'history, historical fiction, biography', 'fantasy, paranormal']"
85,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,eng,81,1423,70,3/1/2002,Dramatists Play Service,5962,5962,5962,1505502,85,US,['42'],5962,1505502,"['fiction', 'poetry', 'romance']"
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,eng,249,2766,64,7/2/1991,Vintage,2591,2591,2591,641751,86,US,['42'],2591,641751,"['fiction', 'poetry']"
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,eng,192,860,53,9/1/2003,Chosen Books,6926,6926,6926,1749087,91,US,"['11872', '51']",6926,1749087,"['non-fiction', 'history, historical fiction, biography', 'children']"
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,eng,352,153317,2257,11/15/2002,Kingfisher,6927,6927,6927,1749089,93,US,"['49', '9829661', '403']",6927,1749089,"['children', 'fiction', 'young-adult', 'history, historical fiction, biography']"
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,eng,832,11797,659,10/16/2003,Workman Publishing Company,6925,6925,6925,1749084,98,US,"['53', '137747', '53', '4673', '11850', '3092798']",6925,1749084,"['non-fiction', 'children']"
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,eng,123,34,8,5/10/2004,One Hour Entertainment,6924,6924,6924,1749083,99,US,"['44', '1587']",6924,1749083,"['comics, graphic', 'history, historical fiction, biography', 'non-fiction']"
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,en-US,128,78,4,8/19/2004,North Light Books,1991,1991,1991,486522,100,US,['47'],1991,486522,['non-fiction']
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,eng,423,2785,166,6/15/1987,Ace Books,1990,1990,1990,486521,103,US,['58'],1990,486521,"['fiction', 'fantasy, paranormal']"
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,eng,436,38778,568,7/1/1987,Ace Books,1994,1994,1994,486527,105,US,['58'],1994,486527,"['fiction', 'fantasy, paranormal']"
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,eng,331,97494,2359,7/15/1987,Ace Books,1992,1992,1992,486524,106,US,['58'],1992,486524,"['fiction', 'fantasy, paranormal']"
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,en-US,592,784,21,7/1/2004,Tor Books,1993,1993,1993,486525,107,US,['56'],1993,486525,"['history, historical fiction, biography', 'non-fiction', 'fiction', 'fantasy, paranormal', 'mystery, thriller, crime', 'comics, graphic']"
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,eng,480,272,20,4/16/1984,Putnam,1989,1989,1989,486518,109,US,['58'],1989,486518,"['fiction', 'fantasy, paranormal']"
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,eng,426,4789,83,8/29/2006,Tor Science Fiction,9020,9020,9020,2285922,110,US,"['58', '56', '4845']",9020,2285922,"['fiction', 'fantasy, paranormal', 'non-fiction', 'history, historical fiction, biography']"
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,eng,471,45388,644,8/15/1987,Ace Books,9019,9019,9019,2285920,117,US,['58'],9019,2285920,"['fiction', 'fantasy, paranormal']"
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,eng,192,26153,102,6/12/2002,Houghton Mifflin Harcourt,9021,9021,9021,2285929,119,US,['60'],9021,2285929,"['fantasy, paranormal', 'non-fiction', 'fiction']"
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,eng,544,69167,4551,9/29/1996,Ballantine Books,6812,6812,6812,1720601,122,US,['63'],6812,1720601,"['fiction', 'history, historical fiction, biography', 'young-adult', 'non-fiction']"
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,eng,291,45,13,9/13/2005,Delacorte Books for Young Readers,6813,6813,6813,1720602,123,US,['63'],6813,1720602,"['fiction', 'history, historical fiction, biography', 'young-adult', 'non-fiction']"
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,en-US,256,16,1,11/1/2004,Thomas Nelson,3567,3567,3567,897836,129,US,"['68', '221642', '221643']",3567,897836,['non-fiction']
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,eng,205,174,16,5/19/2006,Wiley,4544,4544,4544,1161074,130,US,['69'],4544,1161074,['non-fiction']
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,eng,336,76,9,5/3/2005,William Morrow Paperbacks,4543,4543,4543,1161072,132,US,['71'],4543,1161072,[]
133,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,eng,386,111,9,10/30/2006,Wiley,4542,4542,4542,1161071,133,US,['72'],4542,1161071,['non-fiction']
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,eng,384,55,4,9/17/2004,Wiley,8938,8938,8938,2266466,137,US,['72'],8938,2266466,['non-fiction']
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,eng,873,166,4,7/29/2006,O'Reilly Media,1553,1553,1553,377770,141,US,"['78', '3100']",1553,377770,['non-fiction']
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,eng,240,50,5,5/3/2005,Citadel,1552,1552,1552,377768,142,US,['79'],1552,377768,['non-fiction']
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,eng,206,13,2,5/3/2005,Citadel,1055,1055,1055,255881,144,US,['79'],1055,255881,['non-fiction']
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,eng,838,16643,1851,5/31/2004,Penguin Classics,8613,8613,8613,2175809,151,US,"['128382', '3357', '3358']",8613,2175809,"['fiction', 'romance', 'history, historical fiction, biography']"
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,eng,960,109420,5696,11/5/2002,Signet,8615,8615,8615,2175811,152,US,"['128382', '217371', '5262']",8615,2175811,"['fiction', 'romance', 'history, historical fiction, biography']"
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,eng,837,2904,309,1/30/2003,Penguin Books,8614,8614,8614,2175810,153,US,"['128382', '3357', '3358', '21660']",8614,2175810,"['fiction', 'romance', 'history, historical fiction, biography']"
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,eng,80,16,3,11/26/1965,Cliffs Notes,8617,8617,8617,2175813,154,US,"['86', '128382']",8617,2175813,[]
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,8616,8616,8616,2175812,155,US,"['128382', '40588', '69892']",8616,2175812,"['fiction', 'romance', 'history, historical fiction, biography']"
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,8618,8618,8618,2175815,156,US,"['128382', '235013', '72230']",8618,2175815,"['fiction', 'romance', 'history, historical fiction, biography']"
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,8998,8998,8998,2280198,157,US,"['128382', '69892', '40588']",8998,2280198,"['fiction', 'romance', 'history, historical fiction, biography']"
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,1/28/2006,Mira Books,8619,8619,8619,2175816,159,US,['87'],8619,2175816,"['fiction', 'romance']"
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,6395,6395,6395,1612001,160,US,['88'],6395,1612001,"['fiction', 'non-fiction', 'history, historical fiction, biography', 'romance']"
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,6396,6396,6396,1612003,162,US,"['90', '86404']",6396,1612003,"['fiction', 'history, historical fiction, biography', 'non-fiction']"
163,The Untouchable,John Banville,3.95,0679767479,9780679767473,eng,367,2163,216,6/30/1998,Vintage,6397,6397,6397,1612004,163,US,['91'],6397,1612004,"['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime']"
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,6393,6393,6393,1611999,164,US,"['92', '12015']",6393,1611999,"['non-fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'fiction']"
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,en-US,320,308,40,9/27/2005,Scribner,6394,6394,6394,1612000,165,US,['93'],6394,1612000,"['non-fiction', 'history, historical fiction, biography']"
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,6392,6392,6392,1611997,168,US,"['11894', '229688', '650893']",6392,1611997,"['non-fiction', 'history, historical fiction, biography']"
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,1106,1106,1106,269169,180,US,"['115', '5161']",1106,269169,"['non-fiction', 'history, historical fiction, biography']"
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,8429,8429,8429,2129056,204,US,['130'],8429,2129056,"['fiction', 'history, historical fiction, biography', 'romance', 'non-fiction']"
