title,authors_x,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,authors_y,children,"comics, graphic","fantasy, paranormal",fiction,"history, historical fiction, biography","mystery, thriller, crime",non-fiction,poetry,romance,young-adult
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,27591,9/16/2006,"[{'author_id': '1077326', 'role': ''}, {'author_id': '2927', 'role': 'Illustrator'}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,29221,9/1/2004,"[{'author_id': '1077326', 'role': ''}, {'author_id': '2927', 'role': 'Illustrator'}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,eng,352,6333,244,11/1/2003,"[{'author_id': '1077326', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,36325,5/1/2004,"[{'author_id': '1077326', 'role': ''}, {'author_id': '2927', 'role': 'Illustrator'}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,eng,2690,41428,164,9/13/2004,"[{'author_id': '1077326', 'role': ''}, {'author_id': '2927', 'role': 'Illustrator'}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,en-US,152,19,1,4/26/2005,"[{'author_id': '3', 'role': ''}]",,,,,,,,,,
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,eng,3342,28242,808,9/12/2005,"[{'author_id': '1077326', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,3628,254,11/1/2005,"[{'author_id': '4', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,249558,4080,4/30/2002,"[{'author_id': '4', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,eng,215,4930,460,8/3/2004,"[{'author_id': '4', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
